class,degree,degreeDesc,classMajor,classNum,degreeMajor,degreeType,degreeMajorRead,degreeFocus
CLAS 1210,CLAS-AB,Classics - AB,CLAS,1210,CLAS,BA,Classics,
CLAS 1220,CLAS-AB,Classics - AB,CLAS,1220,CLAS,BA,Classics,
CLAS 1310,CLAS-AB,Classics - AB,CLAS,1310,CLAS,BA,Classics,
CLAS 1320,CLAS-AB,Classics - AB,CLAS,1320,CLAS,BA,Classics,
HIST 1201B,CLAS-AB,Classics - AB,HIST,1201B,CLAS,BA,Classics,
GREK 1050F,CLAS-AB,Classics - AB,GREK,1050F,CLAS,BA,Classics,
GREK 1100E,CLAS-AB,Classics - AB,GREK,1100E,CLAS,BA,Classics,
GREK 1100F,CLAS-AB,Classics - AB,GREK,1100F,CLAS,BA,Classics,
GREK 1110I,CLAS-AB,Classics - AB,GREK,1110I,CLAS,BA,Classics,
GREK 1111E,CLAS-AB,Classics - AB,GREK,1111E,CLAS,BA,Classics,
GREK 1150,CLAS-AB,Classics - AB,GREK,1150,CLAS,BA,Classics,
GREK 1810,CLAS-AB,Classics - AB,GREK,1810,CLAS,BA,Classics,
LATN 1040A,CLAS-AB,Classics - AB,LATN,1040A,CLAS,BA,Classics,
LATN 1060H,CLAS-AB,Classics - AB,LATN,1060H,CLAS,BA,Classics,
LATN 1110F,CLAS-AB,Classics - AB,LATN,1110F,CLAS,BA,Classics,
LATN 1110I,CLAS-AB,Classics - AB,LATN,1110I,CLAS,BA,Classics,
LATN 1110O,CLAS-AB,Classics - AB,LATN,1110O,CLAS,BA,Classics,
LATN 1110R,CLAS-AB,Classics - AB,LATN,1110R,CLAS,BA,Classics,
LATN 1820,CLAS-AB,Classics - AB,LATN,1820,CLAS,BA,Classics,
CLAS 0010,CLAS-AB,Classics - AB,CLAS,0010,CLAS,BA,Classics,
CLAS 0150,CLAS-AB,Classics - AB,CLAS,0150,CLAS,BA,Classics,
CLAS 0210L,CLAS-AB,Classics - AB,CLAS,0210L,CLAS,BA,Classics,
CLAS 0660,CLAS-AB,Classics - AB,CLAS,0660,CLAS,BA,Classics,
CLAS 0780,CLAS-AB,Classics - AB,CLAS,0780,CLAS,BA,Classics,
CLAS 0810A,CLAS-AB,Classics - AB,CLAS,0810A,CLAS,BA,Classics,
CLAS 0820,CLAS-AB,Classics - AB,CLAS,0820,CLAS,BA,Classics,
CLAS 0855,CLAS-AB,Classics - AB,CLAS,0855,CLAS,BA,Classics,
CLAS 0900,CLAS-AB,Classics - AB,CLAS,0900,CLAS,BA,Classics,
CLAS 0990,CLAS-AB,Classics - AB,CLAS,0990,CLAS,BA,Classics,
CLAS 1120E,CLAS-AB,Classics - AB,CLAS,1120E,CLAS,BA,Classics,
CLAS 1120G,CLAS-AB,Classics - AB,CLAS,1120G,CLAS,BA,Classics,
CLAS 1120W,CLAS-AB,Classics - AB,CLAS,1120W,CLAS,BA,Classics,
CLAS 1120X,CLAS-AB,Classics - AB,CLAS,1120X,CLAS,BA,Classics,
CLAS 1750L,CLAS-AB,Classics - AB,CLAS,1750L,CLAS,BA,Classics,
CLAS 1770,CLAS-AB,Classics - AB,CLAS,1770,CLAS,BA,Classics,
GREK 0100,CLAS-AB,Classics - AB,GREK,0100,CLAS,BA,Classics,
GREK 0110,CLAS-AB,Classics - AB,GREK,0110,CLAS,BA,Classics,
GREK 0200,CLAS-AB,Classics - AB,GREK,0200,CLAS,BA,Classics,
GREK 0300,CLAS-AB,Classics - AB,GREK,0300,CLAS,BA,Classics,
GREK 0400,CLAS-AB,Classics - AB,GREK,0400,CLAS,BA,Classics,
LATN 0100,CLAS-AB,Classics - AB,LATN,0100,CLAS,BA,Classics,
LATN 0110,CLAS-AB,Classics - AB,LATN,0110,CLAS,BA,Classics,
LATN 0200,CLAS-AB,Classics - AB,LATN,0200,CLAS,BA,Classics,
LATN 0300,CLAS-AB,Classics - AB,LATN,0300,CLAS,BA,Classics,
LATN 0400,CLAS-AB,Classics - AB,LATN,0400,CLAS,BA,Classics,
SANS 0100,CLAS-AB,Classics - AB,SANS,0100,CLAS,BA,Classics,
SANS 0200,CLAS-AB,Classics - AB,SANS,0200,CLAS,BA,Classics,
GREK 1810,CLAS-AB-GRKK,Classics - AB (Greek),GREK,1810,CLAS,BA,Classics,Greek
GREK 1820,CLAS-AB-GRKK,Classics - AB (Greek),GREK,1820,CLAS,BA,Classics,Greek
CLAS 1210,CLAS-AB-GRKK,Classics - AB (Greek),CLAS,1210,CLAS,BA,Classics,Greek
CLAS 1220,CLAS-AB-GRKK,Classics - AB (Greek),CLAS,1220,CLAS,BA,Classics,Greek
GREK 1050F,CLAS-AB-GRKK,Classics - AB (Greek),GREK,1050F,CLAS,BA,Classics,Greek
GREK 1100E,CLAS-AB-GRKK,Classics - AB (Greek),GREK,1100E,CLAS,BA,Classics,Greek
GREK 1100F,CLAS-AB-GRKK,Classics - AB (Greek),GREK,1100F,CLAS,BA,Classics,Greek
GREK 1110I,CLAS-AB-GRKK,Classics - AB (Greek),GREK,1110I,CLAS,BA,Classics,Greek
GREK 1111E,CLAS-AB-GRKK,Classics - AB (Greek),GREK,1111E,CLAS,BA,Classics,Greek
GREK 1150,CLAS-AB-GRKK,Classics - AB (Greek),GREK,1150,CLAS,BA,Classics,Greek
GREK 2000A,CLAS-AB-GRKK,Classics - AB (Greek),GREK,2000A,CLAS,BA,Classics,Greek
GREK 2110E,CLAS-AB-GRKK,Classics - AB (Greek),GREK,2110E,CLAS,BA,Classics,Greek
GREK 2150,CLAS-AB-GRKK,Classics - AB (Greek),GREK,2150,CLAS,BA,Classics,Greek
LATN 1810,CLAS-AB-LTIN,Classics - AB (Latin),LATN,1810,CLAS,BA,Classics,Latin
LATN 1820,CLAS-AB-LTIN,Classics - AB (Latin),LATN,1820,CLAS,BA,Classics,Latin
CLAS 1310,CLAS-AB-LTIN,Classics - AB (Latin),CLAS,1310,CLAS,BA,Classics,Latin
CLAS 1320,CLAS-AB-LTIN,Classics - AB (Latin),CLAS,1320,CLAS,BA,Classics,Latin
HIST 1201B,CLAS-AB-LTIN,Classics - AB (Latin),HIST,1201B,CLAS,BA,Classics,Latin
LATN 1040A,CLAS-AB-LTIN,Classics - AB (Latin),LATN,1040A,CLAS,BA,Classics,Latin
LATN 1060H,CLAS-AB-LTIN,Classics - AB (Latin),LATN,1060H,CLAS,BA,Classics,Latin
LATN 1110F,CLAS-AB-LTIN,Classics - AB (Latin),LATN,1110F,CLAS,BA,Classics,Latin
LATN 1110I,CLAS-AB-LTIN,Classics - AB (Latin),LATN,1110I,CLAS,BA,Classics,Latin
LATN 1110O,CLAS-AB-LTIN,Classics - AB (Latin),LATN,1110O,CLAS,BA,Classics,Latin
LATN 1110R,CLAS-AB-LTIN,Classics - AB (Latin),LATN,1110R,CLAS,BA,Classics,Latin
LATN 2010H,CLAS-AB-LTIN,Classics - AB (Latin),LATN,2010H,CLAS,BA,Classics,Latin
LATN 2080H,CLAS-AB-LTIN,Classics - AB (Latin),LATN,2080H,CLAS,BA,Classics,Latin
LATN 1810,CLAS-AB-GKLN,Classics - AB (Greek and Latin),LATN,1810,CLAS,BA,Classics,Greek and Latin
LATN 1820,CLAS-AB-GKLN,Classics - AB (Greek and Latin),LATN,1820,CLAS,BA,Classics,Greek and Latin
GREK 1810,CLAS-AB-GKLN,Classics - AB (Greek and Latin),GREK,1810,CLAS,BA,Classics,Greek and Latin
GREK 1820,CLAS-AB-GKLN,Classics - AB (Greek and Latin),GREK,1820,CLAS,BA,Classics,Greek and Latin
CLAS 1210,CLAS-AB-GKLN,Classics - AB (Greek and Latin),CLAS,1210,CLAS,BA,Classics,Greek and Latin
CLAS 1220,CLAS-AB-GKLN,Classics - AB (Greek and Latin),CLAS,1220,CLAS,BA,Classics,Greek and Latin
CLAS 1310,CLAS-AB-GKLN,Classics - AB (Greek and Latin),CLAS,1310,CLAS,BA,Classics,Greek and Latin
CLAS 1320,CLAS-AB-GKLN,Classics - AB (Greek and Latin),CLAS,1320,CLAS,BA,Classics,Greek and Latin
HIST 1201B,CLAS-AB-GKLN,Classics - AB (Greek and Latin),HIST,1201B,CLAS,BA,Classics,Greek and Latin
LATN 1040A,CLAS-AB-GKLN,Classics - AB (Greek and Latin),LATN,1040A,CLAS,BA,Classics,Greek and Latin
LATN 1060H,CLAS-AB-GKLN,Classics - AB (Greek and Latin),LATN,1060H,CLAS,BA,Classics,Greek and Latin
LATN 1110F,CLAS-AB-GKLN,Classics - AB (Greek and Latin),LATN,1110F,CLAS,BA,Classics,Greek and Latin
LATN 1110I,CLAS-AB-GKLN,Classics - AB (Greek and Latin),LATN,1110I,CLAS,BA,Classics,Greek and Latin
LATN 1110O,CLAS-AB-GKLN,Classics - AB (Greek and Latin),LATN,1110O,CLAS,BA,Classics,Greek and Latin
LATN 1110R,CLAS-AB-GKLN,Classics - AB (Greek and Latin),LATN,1110R,CLAS,BA,Classics,Greek and Latin
LATN 2010H,CLAS-AB-GKLN,Classics - AB (Greek and Latin),LATN,2010H,CLAS,BA,Classics,Greek and Latin
LATN 2080H,CLAS-AB-GKLN,Classics - AB (Greek and Latin),LATN,2080H,CLAS,BA,Classics,Greek and Latin
GREK 1050F,CLAS-AB-GKLN,Classics - AB (Greek and Latin),GREK,1050F,CLAS,BA,Classics,Greek and Latin
GREK 1100E,CLAS-AB-GKLN,Classics - AB (Greek and Latin),GREK,1100E,CLAS,BA,Classics,Greek and Latin
GREK 1100F,CLAS-AB-GKLN,Classics - AB (Greek and Latin),GREK,1100F,CLAS,BA,Classics,Greek and Latin
GREK 1110I,CLAS-AB-GKLN,Classics - AB (Greek and Latin),GREK,1110I,CLAS,BA,Classics,Greek and Latin
GREK 1111E,CLAS-AB-GKLN,Classics - AB (Greek and Latin),GREK,1111E,CLAS,BA,Classics,Greek and Latin
GREK 1150,CLAS-AB-GKLN,Classics - AB (Greek and Latin),GREK,1150,CLAS,BA,Classics,Greek and Latin
GREK 2000A,CLAS-AB-GKLN,Classics - AB (Greek and Latin),GREK,2000A,CLAS,BA,Classics,Greek and Latin
GREK 2110E,CLAS-AB-GKLN,Classics - AB (Greek and Latin),GREK,2110E,CLAS,BA,Classics,Greek and Latin
GREK 2150,CLAS-AB-GKLN,Classics - AB (Greek and Latin),GREK,2150,CLAS,BA,Classics,Greek and Latin
SANS 0400,CLAS-AB-SACL,Classics - AB (South Asian Classics),SANS,0400,CLAS,BA,Classics,South Asian Classics
SANS 1080,CLAS-AB-SACL,Classics - AB (South Asian Classics),SANS,1080,CLAS,BA,Classics,South Asian Classics
SANS 1600,CLAS-AB-SACL,Classics - AB (South Asian Classics),SANS,1600,CLAS,BA,Classics,South Asian Classics
CLAS 0210Y,CLAS-AB-SACL,Classics - AB (South Asian Classics),CLAS,0210Y,CLAS,BA,Classics,South Asian Classics
CLAS 0820,CLAS-AB-SACL,Classics - AB (South Asian Classics),CLAS,0820,CLAS,BA,Classics,South Asian Classics
CLAS 0855,CLAS-AB-SACL,Classics - AB (South Asian Classics),CLAS,0855,CLAS,BA,Classics,South Asian Classics
CLAS 0990,CLAS-AB-SACL,Classics - AB (South Asian Classics),CLAS,0990,CLAS,BA,Classics,South Asian Classics
SANS 1080,CLAS-AB-SANS,Classics - AB (Sanskrit),SANS,1080,CLAS,BA,Classics,Sanskrit
SANS 1600,CLAS-AB-SANS,Classics - AB (Sanskrit),SANS,1600,CLAS,BA,Classics,Sanskrit
CLAS 0210Y,CLAS-AB-SANS,Classics - AB (Sanskrit),CLAS,0210Y,CLAS,BA,Classics,Sanskrit
CLAS 0820,CLAS-AB-SANS,Classics - AB (Sanskrit),CLAS,0820,CLAS,BA,Classics,Sanskrit
CLAS 0855,CLAS-AB-SANS,Classics - AB (Sanskrit),CLAS,0855,CLAS,BA,Classics,Sanskrit
CLAS 0990,CLAS-AB-SANS,Classics - AB (Sanskrit),CLAS,0990,CLAS,BA,Classics,Sanskrit
GREK 1810,CLAS-AB-GRSA,Classics - AB (Greek and Sanskrit),GREK,1810,CLAS,BA,Classics,Greek and Sanskrit
GREK 1820,CLAS-AB-GRSA,Classics - AB (Greek and Sanskrit),GREK,1820,CLAS,BA,Classics,Greek and Sanskrit
CLAS 1210,CLAS-AB-GRSA,Classics - AB (Greek and Sanskrit),CLAS,1210,CLAS,BA,Classics,Greek and Sanskrit
CLAS 1220,CLAS-AB-GRSA,Classics - AB (Greek and Sanskrit),CLAS,1220,CLAS,BA,Classics,Greek and Sanskrit
SANS 0100,CLAS-AB-GRSA,Classics - AB (Greek and Sanskrit),SANS,0100,CLAS,BA,Classics,Greek and Sanskrit
SANS 0200,CLAS-AB-GRSA,Classics - AB (Greek and Sanskrit),SANS,0200,CLAS,BA,Classics,Greek and Sanskrit
SANS 0300,CLAS-AB-GRSA,Classics - AB (Greek and Sanskrit),SANS,0300,CLAS,BA,Classics,Greek and Sanskrit
SANS 0400,CLAS-AB-GRSA,Classics - AB (Greek and Sanskrit),SANS,0400,CLAS,BA,Classics,Greek and Sanskrit
SANS 1080,CLAS-AB-GRSA,Classics - AB (Greek and Sanskrit),SANS,1080,CLAS,BA,Classics,Greek and Sanskrit
SANS 1600,CLAS-AB-GRSA,Classics - AB (Greek and Sanskrit),SANS,1600,CLAS,BA,Classics,Greek and Sanskrit
GREK 1050F,CLAS-AB-GRSA,Classics - AB (Greek and Sanskrit),GREK,1050F,CLAS,BA,Classics,Greek and Sanskrit
GREK 1100E,CLAS-AB-GRSA,Classics - AB (Greek and Sanskrit),GREK,1100E,CLAS,BA,Classics,Greek and Sanskrit
GREK 1100F,CLAS-AB-GRSA,Classics - AB (Greek and Sanskrit),GREK,1100F,CLAS,BA,Classics,Greek and Sanskrit
GREK 1110I,CLAS-AB-GRSA,Classics - AB (Greek and Sanskrit),GREK,1110I,CLAS,BA,Classics,Greek and Sanskrit
GREK 1111E,CLAS-AB-GRSA,Classics - AB (Greek and Sanskrit),GREK,1111E,CLAS,BA,Classics,Greek and Sanskrit
GREK 1150,CLAS-AB-GRSA,Classics - AB (Greek and Sanskrit),GREK,1150,CLAS,BA,Classics,Greek and Sanskrit
GREK 2000A,CLAS-AB-GRSA,Classics - AB (Greek and Sanskrit),GREK,2000A,CLAS,BA,Classics,Greek and Sanskrit
GREK 2110E,CLAS-AB-GRSA,Classics - AB (Greek and Sanskrit),GREK,2110E,CLAS,BA,Classics,Greek and Sanskrit
GREK 2150,CLAS-AB-GRSA,Classics - AB (Greek and Sanskrit),GREK,2150,CLAS,BA,Classics,Greek and Sanskrit
LATN 1810,CLAS-AB-LTSA,Classics - AB (Latin and Sanskrit),LATN,1810,CLAS,BA,Classics,Latin and Sanskrit
LATN 1820,CLAS-AB-LTSA,Classics - AB (Latin and Sanskrit),LATN,1820,CLAS,BA,Classics,Latin and Sanskrit
CLAS 1310,CLAS-AB-LTSA,Classics - AB (Latin and Sanskrit),CLAS,1310,CLAS,BA,Classics,Latin and Sanskrit
CLAS 1320,CLAS-AB-LTSA,Classics - AB (Latin and Sanskrit),CLAS,1320,CLAS,BA,Classics,Latin and Sanskrit
HIST 1201B,CLAS-AB-LTSA,Classics - AB (Latin and Sanskrit),HIST,1201B,CLAS,BA,Classics,Latin and Sanskrit
SANS 0100,CLAS-AB-LTSA,Classics - AB (Latin and Sanskrit),SANS,0100,CLAS,BA,Classics,Latin and Sanskrit
SANS 0200,CLAS-AB-LTSA,Classics - AB (Latin and Sanskrit),SANS,0200,CLAS,BA,Classics,Latin and Sanskrit
SANS 0300,CLAS-AB-LTSA,Classics - AB (Latin and Sanskrit),SANS,0300,CLAS,BA,Classics,Latin and Sanskrit
SANS 0400,CLAS-AB-LTSA,Classics - AB (Latin and Sanskrit),SANS,0400,CLAS,BA,Classics,Latin and Sanskrit
SANS 1080,CLAS-AB-LTSA,Classics - AB (Latin and Sanskrit),SANS,1080,CLAS,BA,Classics,Latin and Sanskrit
SANS 1600,CLAS-AB-LTSA,Classics - AB (Latin and Sanskrit),SANS,1600,CLAS,BA,Classics,Latin and Sanskrit
LATN 1040A,CLAS-AB-LTSA,Classics - AB (Latin and Sanskrit),LATN,1040A,CLAS,BA,Classics,Latin and Sanskrit
LATN 1060H,CLAS-AB-LTSA,Classics - AB (Latin and Sanskrit),LATN,1060H,CLAS,BA,Classics,Latin and Sanskrit
LATN 1110F,CLAS-AB-LTSA,Classics - AB (Latin and Sanskrit),LATN,1110F,CLAS,BA,Classics,Latin and Sanskrit
LATN 1110I,CLAS-AB-LTSA,Classics - AB (Latin and Sanskrit),LATN,1110I,CLAS,BA,Classics,Latin and Sanskrit
LATN 1110O,CLAS-AB-LTSA,Classics - AB (Latin and Sanskrit),LATN,1110O,CLAS,BA,Classics,Latin and Sanskrit
LATN 1110R,CLAS-AB-LTSA,Classics - AB (Latin and Sanskrit),LATN,1110R,CLAS,BA,Classics,Latin and Sanskrit
LATN 2010H,CLAS-AB-LTSA,Classics - AB (Latin and Sanskrit),LATN,2010H,CLAS,BA,Classics,Latin and Sanskrit
LATN 2080H,CLAS-AB-LTSA,Classics - AB (Latin and Sanskrit),LATN,2080H,CLAS,BA,Classics,Latin and Sanskrit
CLPS 0010,PSYC-AB,Psychology - AB,CLPS,0010,PSYC,BA,Psychology,
CLPS 0900,PSYC-AB,Psychology - AB,CLPS,0900,PSYC,BA,Psychology,
APMA 1650,PSYC-AB,Psychology - AB,APMA,1650,PSYC,BA,Psychology,
CLPS 1090,PSYC-AB,Psychology - AB,CLPS,1090,PSYC,BA,Psychology,
CLPS 1092,PSYC-AB,Psychology - AB,CLPS,1092,PSYC,BA,Psychology,
CLPS 1190,PSYC-AB,Psychology - AB,CLPS,1190,PSYC,BA,Psychology,
CLPS 1191,PSYC-AB,Psychology - AB,CLPS,1191,PSYC,BA,Psychology,
CLPS 1192,PSYC-AB,Psychology - AB,CLPS,1192,PSYC,BA,Psychology,
CLPS 1193,PSYC-AB,Psychology - AB,CLPS,1193,PSYC,BA,Psychology,
CLPS 1194,PSYC-AB,Psychology - AB,CLPS,1194,PSYC,BA,Psychology,
CLPS 1290,PSYC-AB,Psychology - AB,CLPS,1290,PSYC,BA,Psychology,
CLPS 1291,PSYC-AB,Psychology - AB,CLPS,1291,PSYC,BA,Psychology,
CLPS 1360,PSYC-AB,Psychology - AB,CLPS,1360,PSYC,BA,Psychology,
CLPS 1490,PSYC-AB,Psychology - AB,CLPS,1490,PSYC,BA,Psychology,
CLPS 1491,PSYC-AB,Psychology - AB,CLPS,1491,PSYC,BA,Psychology,
CLPS 1492,PSYC-AB,Psychology - AB,CLPS,1492,PSYC,BA,Psychology,
CLPS 1510,PSYC-AB,Psychology - AB,CLPS,1510,PSYC,BA,Psychology,
CLPS 1590,PSYC-AB,Psychology - AB,CLPS,1590,PSYC,BA,Psychology,
CLPS 1690,PSYC-AB,Psychology - AB,CLPS,1690,PSYC,BA,Psychology,
CLPS 1790,PSYC-AB,Psychology - AB,CLPS,1790,PSYC,BA,Psychology,
CLPS 1791,PSYC-AB,Psychology - AB,CLPS,1791,PSYC,BA,Psychology,
CLPS 0010,PSYC-SCB,Psychology - SCB,CLPS,0010,PSYC,BCS,Psychology,
CLPS 0900,PSYC-SCB,Psychology - SCB,CLPS,0900,PSYC,BCS,Psychology,
APMA 1650,PSYC-SCB,Psychology - SCB,APMA,1650,PSYC,BCS,Psychology,
CLPS 1090,PSYC-SCB,Psychology - SCB,CLPS,1090,PSYC,BCS,Psychology,
CLPS 1092,PSYC-SCB,Psychology - SCB,CLPS,1092,PSYC,BCS,Psychology,
CLPS 1190,PSYC-SCB,Psychology - SCB,CLPS,1190,PSYC,BCS,Psychology,
CLPS 1191,PSYC-SCB,Psychology - SCB,CLPS,1191,PSYC,BCS,Psychology,
CLPS 1192,PSYC-SCB,Psychology - SCB,CLPS,1192,PSYC,BCS,Psychology,
CLPS 1193,PSYC-SCB,Psychology - SCB,CLPS,1193,PSYC,BCS,Psychology,
CLPS 1194,PSYC-SCB,Psychology - SCB,CLPS,1194,PSYC,BCS,Psychology,
CLPS 1290,PSYC-SCB,Psychology - SCB,CLPS,1290,PSYC,BCS,Psychology,
CLPS 1490,PSYC-SCB,Psychology - SCB,CLPS,1490,PSYC,BCS,Psychology,
CLPS 1491,PSYC-SCB,Psychology - SCB,CLPS,1491,PSYC,BCS,Psychology,
CLPS 1492,PSYC-SCB,Psychology - SCB,CLPS,1492,PSYC,BCS,Psychology,
CLPS 1510,PSYC-SCB,Psychology - SCB,CLPS,1510,PSYC,BCS,Psychology,
CLPS 1690,PSYC-SCB,Psychology - SCB,CLPS,1690,PSYC,BCS,Psychology,
CLPS 1790,PSYC-SCB,Psychology - SCB,CLPS,1790,PSYC,BCS,Psychology,
CLPS 1791,PSYC-SCB,Psychology - SCB,CLPS,1791,PSYC,BCS,Psychology,
CLPS 1980,PSYC-SCB,Psychology - SCB,CLPS,1980,PSYC,BCS,Psychology,
HIAA 0010,HIAA-AB,History of Art and Architecture - AB,HIAA,0010,HIAA,BA,History of Art and Architecture,
HIAA 0011,HIAA-AB,History of Art and Architecture - AB,HIAA,0011,HIAA,BA,History of Art and Architecture,
HIAA 0012,HIAA-AB,History of Art and Architecture - AB,HIAA,0012,HIAA,BA,History of Art and Architecture,
HIAA 0013,HIAA-AB,History of Art and Architecture - AB,HIAA,0013,HIAA,BA,History of Art and Architecture,
HIAA 0031,HIAA-AB,History of Art and Architecture - AB,HIAA,0031,HIAA,BA,History of Art and Architecture,
HIAA 0040,HIAA-AB,History of Art and Architecture - AB,HIAA,0040,HIAA,BA,History of Art and Architecture,
HIAA 0041,HIAA-AB,History of Art and Architecture - AB,HIAA,0041,HIAA,BA,History of Art and Architecture,
HIAA 0042,HIAA-AB,History of Art and Architecture - AB,HIAA,0042,HIAA,BA,History of Art and Architecture,
HIAA 0061,HIAA-AB,History of Art and Architecture - AB,HIAA,0061,HIAA,BA,History of Art and Architecture,
HIAA 0062,HIAA-AB,History of Art and Architecture - AB,HIAA,0062,HIAA,BA,History of Art and Architecture,
HIAA 0070,HIAA-AB,History of Art and Architecture - AB,HIAA,0070,HIAA,BA,History of Art and Architecture,
HIAA 0074,HIAA-AB,History of Art and Architecture - AB,HIAA,0074,HIAA,BA,History of Art and Architecture,
HIAA 0075,HIAA-AB,History of Art and Architecture - AB,HIAA,0075,HIAA,BA,History of Art and Architecture,
HIAA 0081,HIAA-AB,History of Art and Architecture - AB,HIAA,0081,HIAA,BA,History of Art and Architecture,
HIAA 0089,HIAA-AB,History of Art and Architecture - AB,HIAA,0089,HIAA,BA,History of Art and Architecture,
HIAA 0321,HIAA-AB,History of Art and Architecture - AB,HIAA,0321,HIAA,BA,History of Art and Architecture,
HIAA 0340,HIAA-AB,History of Art and Architecture - AB,HIAA,0340,HIAA,BA,History of Art and Architecture,
HIAA 0400,HIAA-AB,History of Art and Architecture - AB,HIAA,0400,HIAA,BA,History of Art and Architecture,
HIAA 0440,HIAA-AB,History of Art and Architecture - AB,HIAA,0440,HIAA,BA,History of Art and Architecture,
HIAA 0460,HIAA-AB,History of Art and Architecture - AB,HIAA,0460,HIAA,BA,History of Art and Architecture,
HIAA 0550,HIAA-AB,History of Art and Architecture - AB,HIAA,0550,HIAA,BA,History of Art and Architecture,
HIAA 0560,HIAA-AB,History of Art and Architecture - AB,HIAA,0560,HIAA,BA,History of Art and Architecture,
HIAA 0570,HIAA-AB,History of Art and Architecture - AB,HIAA,0570,HIAA,BA,History of Art and Architecture,
HIAA 0580,HIAA-AB,History of Art and Architecture - AB,HIAA,0580,HIAA,BA,History of Art and Architecture,
HIAA 0600,HIAA-AB,History of Art and Architecture - AB,HIAA,0600,HIAA,BA,History of Art and Architecture,
HIAA 0630,HIAA-AB,History of Art and Architecture - AB,HIAA,0630,HIAA,BA,History of Art and Architecture,
HIAA 0710,HIAA-AB,History of Art and Architecture - AB,HIAA,0710,HIAA,BA,History of Art and Architecture,
HIAA 0770,HIAA-AB,History of Art and Architecture - AB,HIAA,0770,HIAA,BA,History of Art and Architecture,
HIAA 0771,HIAA-AB,History of Art and Architecture - AB,HIAA,0771,HIAA,BA,History of Art and Architecture,
HIAA 0801,HIAA-AB,History of Art and Architecture - AB,HIAA,0801,HIAA,BA,History of Art and Architecture,
HIAA 0810,HIAA-AB,History of Art and Architecture - AB,HIAA,0810,HIAA,BA,History of Art and Architecture,
HIAA 0830,HIAA-AB,History of Art and Architecture - AB,HIAA,0830,HIAA,BA,History of Art and Architecture,
HIAA 0840,HIAA-AB,History of Art and Architecture - AB,HIAA,0840,HIAA,BA,History of Art and Architecture,
HIAA 0850,HIAA-AB,History of Art and Architecture - AB,HIAA,0850,HIAA,BA,History of Art and Architecture,
HIAA 0860,HIAA-AB,History of Art and Architecture - AB,HIAA,0860,HIAA,BA,History of Art and Architecture,
HIAA 0861,HIAA-AB,History of Art and Architecture - AB,HIAA,0861,HIAA,BA,History of Art and Architecture,
HIAA 0870,HIAA-AB,History of Art and Architecture - AB,HIAA,0870,HIAA,BA,History of Art and Architecture,
HIAA 0881,HIAA-AB,History of Art and Architecture - AB,HIAA,0881,HIAA,BA,History of Art and Architecture,
HIAA 1020,HIAA-AB,History of Art and Architecture - AB,HIAA,1020,HIAA,BA,History of Art and Architecture,
HIAA 1090,HIAA-AB,History of Art and Architecture - AB,HIAA,1090,HIAA,BA,History of Art and Architecture,
HIAA 1101,HIAA-AB,History of Art and Architecture - AB,HIAA,1101,HIAA,BA,History of Art and Architecture,
HIAA 1101A,HIAA-AB,History of Art and Architecture - AB,HIAA,1101A,HIAA,BA,History of Art and Architecture,
HIAA 1101B,HIAA-AB,History of Art and Architecture - AB,HIAA,1101B,HIAA,BA,History of Art and Architecture,
HIAA 1102,HIAA-AB,History of Art and Architecture - AB,HIAA,1102,HIAA,BA,History of Art and Architecture,
HIAA 1103,HIAA-AB,History of Art and Architecture - AB,HIAA,1103,HIAA,BA,History of Art and Architecture,
HIAA 1120B,HIAA-AB,History of Art and Architecture - AB,HIAA,1120B,HIAA,BA,History of Art and Architecture,
HIAA 1120C,HIAA-AB,History of Art and Architecture - AB,HIAA,1120C,HIAA,BA,History of Art and Architecture,
HIAA 1150C,HIAA-AB,History of Art and Architecture - AB,HIAA,1150C,HIAA,BA,History of Art and Architecture,
HIAA 1150D,HIAA-AB,History of Art and Architecture - AB,HIAA,1150D,HIAA,BA,History of Art and Architecture,
HIAA 1170B,HIAA-AB,History of Art and Architecture - AB,HIAA,1170B,HIAA,BA,History of Art and Architecture,
HIAA 1181,HIAA-AB,History of Art and Architecture - AB,HIAA,1181,HIAA,BA,History of Art and Architecture,
HIAA 1200A,HIAA-AB,History of Art and Architecture - AB,HIAA,1200A,HIAA,BA,History of Art and Architecture,
HIAA 1200D,HIAA-AB,History of Art and Architecture - AB,HIAA,1200D,HIAA,BA,History of Art and Architecture,
HIAA 1201,HIAA-AB,History of Art and Architecture - AB,HIAA,1201,HIAA,BA,History of Art and Architecture,
HIAA 1300,HIAA-AB,History of Art and Architecture - AB,HIAA,1300,HIAA,BA,History of Art and Architecture,
HIAA 1301,HIAA-AB,History of Art and Architecture - AB,HIAA,1301,HIAA,BA,History of Art and Architecture,
HIAA 1302,HIAA-AB,History of Art and Architecture - AB,HIAA,1302,HIAA,BA,History of Art and Architecture,
HIAA 1303,HIAA-AB,History of Art and Architecture - AB,HIAA,1303,HIAA,BA,History of Art and Architecture,
HIAA 1310,HIAA-AB,History of Art and Architecture - AB,HIAA,1310,HIAA,BA,History of Art and Architecture,
HIAA 1400F,HIAA-AB,History of Art and Architecture - AB,HIAA,1400F,HIAA,BA,History of Art and Architecture,
HIAA 1410A,HIAA-AB,History of Art and Architecture - AB,HIAA,1410A,HIAA,BA,History of Art and Architecture,
